service_id,date,exception_type
000001,20220219,1
000001,20220226,1
000002,20220312,1
000002,20220319,1
000002,20220326,1
000002,20220402,1
000002,20220409,1
000002,20220416,1
000002,20220423,1
000002,20220430,1
000002,20220507,1
000003,20220212,1
000004,20220305,1
000005,20220318,1
000005,20220325,1
000006,20220218,1
000006,20220225,1
000006,20220304,1
000006,20220311,1
000007,20220211,1
000008,20220409,1
000008,20220423,1
000008,20220430,1
000009,20220312,1
000010,20220226,1
000011,20220219,1
000012,20220319,1
000013,20220326,1
000013,20220402,1
000013,20220507,1
000014,20220218,1
000014,20220225,1
000015,20220408,1
000015,20220415,1
000015,20220422,1
000016,20220304,1
000016,20220311,1
000016,20220318,1
000016,20220325,1
000016,20220401,1
000016,20220429,1
000016,20220506,1
000017,20220313,1
000017,20220320,1
000017,20220327,1
000018,20220213,1
000019,20220218,1
000019,20220225,1
000019,20220304,1
000020,20220311,1
000020,20220318,1
000020,20220325,1
000020,20220401,1
000020,20220408,1
000020,20220415,1
000020,20220422,1
000020,20220429,1
000020,20220506,1
000021,20220220,1
000021,20220227,1
000021,20220306,1
000022,20220313,1
000022,20220320,1
000022,20220327,1
000022,20220403,1
000022,20220410,1
000022,20220417,1
000022,20220418,1
000022,20220424,1
000022,20220501,1
000022,20220508,1
000023,20220304,1
000023,20220311,1
000024,20220219,1
000024,20220226,1
000024,20220305,1
000025,20220312,1
000025,20220313,1
000025,20220319,1
000025,20220320,1
000025,20220326,1
000025,20220327,1
000025,20220402,1
000025,20220403,1
000025,20220409,1
000025,20220410,1
000025,20220418,1
000025,20220423,1
000025,20220424,1
000025,20220430,1
000025,20220501,1
000025,20220507,1
000025,20220508,1
000026,20220402,1
000026,20220403,1
000026,20220409,1
000026,20220410,1
000026,20220416,1
000026,20220417,1
000027,20220423,1
000027,20220424,1
000027,20220430,1
000027,20220501,1
000028,20220418,1
000029,20220507,1
000029,20220508,1
000030,20220227,1
000030,20220306,1
000031,20220220,1
000032,20220313,1
000033,20220320,1
000033,20220327,1
000033,20220403,1
000033,20220410,1
000033,20220501,1
000033,20220508,1
000034,20220424,1
000035,20220313,1
000035,20220320,1
000035,20220327,1
000035,20220403,1
000035,20220410,1
000035,20220418,1
000035,20220424,1
000035,20220501,1
000035,20220508,1
000036,20220423,1
000036,20220430,1
000037,20220424,1
000037,20220501,1
000038,20220409,1
000038,20220416,1
000039,20220417,1
000040,20220410,1
000041,20220402,1
000042,20220403,1
000043,20220221,1
000043,20220228,1
000043,20220307,1
000044,20220314,1
000044,20220321,1
000044,20220328,1
000044,20220404,1
000044,20220411,1
000044,20220419,1
000044,20220425,1
000044,20220502,1
000045,20220214,1
000046,20220207,1
000047,20220304,1
000047,20220305,1
000047,20220306,1
000048,20220327,1
000049,20220311,1
000050,20220320,1
000051,20220402,1
000051,20220403,1
000051,20220408,1
000051,20220409,1
000051,20220410,1
000051,20220415,1
000051,20220416,1
000051,20220417,1
000052,20220313,1
000052,20220319,1
000052,20220326,1
000053,20220318,1
000053,20220325,1
000053,20220401,1
000054,20220418,1
000054,20220422,1
000054,20220423,1
000054,20220424,1
000054,20220429,1
000054,20220430,1
000054,20220501,1
000054,20220506,1
000055,20220304,1
000056,20220311,1
000056,20220312,1
000056,20220313,1
000057,20220305,1
000057,20220306,1
000058,20220318,1
000058,20220319,1
000058,20220325,1
000058,20220327,1
000058,20220401,1
000059,20220326,1
000060,20220402,1
000060,20220416,1
000060,20220507,1
000061,20220409,1
000062,20220319,1
000062,20220326,1
000062,20220423,1
000062,20220430,1
000063,20220326,1
